"","ele","dist_km","dist_total","speed","times"
"4050",27.5,0.000111195100301812,21.5234141488413,0.0400302361086522,"12:28:34"
"4051",27.5,6.6179782526576e-05,21.5234803286238,0.0238247217095674,"12:28:35"
"4052",27.5,0,21.5234803286238,0,"12:28:36"
"4053",27.5,0.000671074305156691,21.524151402929,0.120793374928204,"12:28:38"
"4054",27.5,0.000172868175934071,21.5243242711049,0.0622325433362656,"12:28:40"
"4055",27.5,0.000129399051269822,21.5244536701562,0.023291829228568,"12:28:41"
"4056",27.5,0.00022755709095864,21.5246812272472,0.00234058722128887,"12:28:43"
"4057",27.5,0.00495743938792366,21.5296386666351,1.78467817965252,"12:29:18"
"4058",27.4,0.00268429817375946,21.5323229648088,0.483173671276704,"12:29:19"
"4059",27.4,0.0068079556763659,21.5391309204852,2.45086404349172,"12:29:21"
"4060",27.3,0.0050757424023625,21.5442066628876,1.8272672648505,"12:29:22"
"4061",27.2,0.00491164574790367,21.5491183086355,0.884096234622661,"12:29:23"
"4062",27.2,0.0127888232876361,21.5619071319231,2.3019881917745,"12:29:25"
"4063",27.3,0.0171846894999698,21.5790918214231,6.18648821998914,"12:29:27"
"4064",27.8,0.00791433546469819,21.5870061568878,2.84916076729135,"12:29:28"
"4065",27.8,0.00830708611613567,21.5953132430039,2.99055100180884,"12:29:29"
"4066",27.7,0.00870375475814161,21.6040169977621,1.56667585646549,"12:29:30"
"4067",27.7,0.0168837414956494,21.6209007392577,3.03907346921689,"12:29:32"
"4068",27.6,0.014689833086147,21.6355905723439,5.28833991101292,"12:29:34"
"4069",27.5,0.00850146445941071,21.6440920368033,1.53026360269393,"12:29:35"
"4070",27.5,0.0139396613778972,21.6580316981812,5.01827809604299,"12:29:37"
"4071",27.5,0.00631631069772055,21.6643480088789,2.2738718511794,"12:29:38"
"4072",27.5,0.00599976347420716,21.6703477723531,1.07995742535729,"12:29:39"
"4073",27.5,0.0102718186952605,21.6806195910484,3.69785473029377,"12:29:41"
"4074",27.5,0.00276618742603557,21.6833857784744,0.497913736686403,"12:29:42"
"4075",27.6,0.00456685405680491,21.6879526325312,1.64406746044977,"12:29:44"
"4076",27.7,0.00939647258090586,21.6973491051121,1.69136506456305,"12:29:45"
"4077",27.6,0.0144845293553473,21.7118336344674,5.21443056792504,"12:29:47"
"4078",27.4,0.00682394668080166,21.7186575811482,1.2283104025443,"12:29:48"
"4079",27.2,0.0133997306397554,21.732057311788,2.41195151515597,"12:29:50"
"4080",27,0.0138629459493193,21.7459202577373,2.49533027087748,"12:29:52"
"4081",26.9,0.013421267216166,21.7593415249535,4.83165619781976,"12:29:54"
"4082",26.9,0.00655076906947291,21.765892294023,1.17913843250512,"12:29:55"
"4083",26.8,0.0128287622669162,21.7787210562899,4.61835441608982,"12:29:57"
"4084",26.8,0.00626944057627216,21.7849904968662,2.25699860745798,"12:29:58"
"4085",26.7,0.00633320828029849,21.7913237051465,1.13997749045373,"12:29:59"
"4086",26.7,0.012404129365768,21.8037278345122,4.46548657167647,"12:30:01"
"4087",26.7,0.0058897155143793,21.8096175500266,2.12029758517655,"12:30:02"
"4088",26.8,0.00565516817761329,21.8152727182042,1.01793027197039,"12:30:03"
"4089",26.8,0.010602770277716,21.8258754884819,1.90849864998887,"12:30:05"
"4090",26.8,0.00938444127012733,21.8352599297521,1.68919942862292,"12:30:07"
"4091",26.8,0.00836472443723929,21.8436246541893,1.50565039870307,"12:30:09"
"4092",26.9,0.0073805290292212,21.8510051832185,2.65699045051963,"12:30:11"
"4093",26.9,0.0038548537245387,21.8548600369431,1.38774734083393,"12:30:12"
"4094",27,0.00326324078427109,21.8581232777273,1.17476668233759,"12:30:13"
"4095",27,0.00307090209412738,21.8611941798215,0.552762376942929,"12:30:14"
"4096",27,0.00489104482465218,21.8660852246461,1.76077613687478,"12:30:16"
"4097",27,0.00370590799749885,21.8697911326436,1.33412687909959,"12:30:17"
"4098",27,0.00139627508803656,21.8711874077317,0.251329515846581,"12:30:18"
"4099",27,0.00684632017385023,21.8780337279055,1.23233763129304,"12:30:20"
"4100",27.1,0.00647483872464706,21.8845085666301,2.33094194087294,"12:30:22"
"4101",27.1,0.00459732667687643,21.889105893307,0.827518801837758,"12:30:23"
"4102",27.1,0.00672586773805183,21.8958317610451,1.21065619284933,"12:30:25"
"4103",27.2,0.00486131837144621,21.9006930794165,1.75007461372063,"12:30:27"
"4104",27.2,0.00584055681352426,21.90653363623,1.05130022643437,"12:30:28"
"4105",27.3,0.0049831822182601,21.9115168184483,1.79394559857364,"12:30:30"
"4106",27.4,0.00707556813932902,21.9185923865876,1.27360226507922,"12:30:31"
"4107",27.5,0.0100847646262489,21.9286771512139,1.8152576327248,"12:30:33"
"4108",27.6,0.00811965258811777,21.936796803802,2.9230749317224,"12:30:35"
"4109",27.7,0.00693969266213893,21.9437364964641,1.24914467918501,"12:30:36"
"4110",27.8,0.011426807244934,21.9551633037091,4.11365060817626,"12:30:38"
"4111",28,0.00517607580919071,21.9603393795183,0.931693645654327,"12:30:39"
"4112",28,0.00363015501059825,21.9639695345289,1.30685580381537,"12:30:41"
"4113",28.1,0.00528024791481275,21.9692497824437,1.90088924933259,"12:30:42"
"4114",28.2,0.00549897834906137,21.9747487607927,1.97963220566209,"12:30:43"
"4115",28.2,0.00471705925660998,21.9794658200493,1.69814133237959,"12:30:44"
"4116",28.3,0.00387835015997332,21.9833441702093,0.698103028795197,"12:30:45"
"4117",28.4,0.00716758503603632,21.9905117552454,1.29016530648654,"12:30:47"
"4118",28.4,0.0072167742906081,21.997728529536,1.29901937230946,"12:30:49"
"4119",28.5,0.00661774962193659,22.0043462791579,2.38238986389717,"12:30:51"
"4120",28.6,0.00260239099176021,22.0069486701497,0.468430378516837,"12:30:52"
"4121",28.7,0.00272988136131516,22.009678551511,0.982757290073457,"12:30:54"
"4122",28.7,0.00149539787900137,22.01117394939,0.538343236440492,"12:30:55"
"4123",28.7,0.000574232208520528,22.0117481815985,0.103361797533695,"12:30:56"
"4124",28.8,0.00101726843063875,22.0127654500291,0.366216635029949,"12:30:58"
"4125",28.8,0.000287116084141606,22.0130525661133,0.0516808951454891,"12:30:59"
"4126",28.8,0.00017286461012568,22.0132254307234,0.0622312596452448,"12:31:01"
"4127",28.8,6.61774556750876e-05,22.0132916081791,0.0119119420215158,"12:31:02"
"4128",28.8,0.000298114913245191,22.0135897230923,0.0536606843841343,"12:31:04"
"4129",28.8,0.00100947026148266,22.0145991933538,0.0279545610872122,"12:31:06"
"4130",28.8,0.00204332901674499,22.0166425223706,0.735598446028197,"12:31:19"
"4131",28.8,0.00356778496766517,22.0202103073382,0.64220129417973,"12:31:20"
"4132",28.9,0.00410450519126055,22.0243148125295,0.738810934426898,"12:31:22"
